Date	Session 	portes	Injection	singe
27/01/2021	23	opaque	no	Homer
28/01/2021	24	opaque	no	Homer
29/01/2021	25.1	opaque	no	Homer
29/01/2021	25.2	opaque	no	Homer
01/02/2021	26	opaque	DCZ	Homer
02/02/2021	27.1	opaque	no	Homer
02/02/2021	27.2	opaque	no	Homer
03/02/2021	28	opaque	sham	Homer
04/02/2021	29	opaque	DCZ	Homer
05/02/2021	30	opaque	sham	Homer
05/02/2021	31	opaque	sham	Homer
08/02/2021	32	opaque	DCZ	Homer
09/02/2021	33	opaque	sham	Homer
10/02/2021	34	opaque	sham	Homer
11/02/2021	35	opaque	DCZ	Homer
12/02/2021	36	opaque	no	Homer
15/02/2021	37	opaque	DCZ	Homer
16/02/2021	38	opaque	no	Homer
17/02/2021	39	opaque	sham	Homer
18/02/2021	40	opaque	DCZ	Homer
19/02/2021	41	opaque	no	Homer
19/02/2021	42	opaque	no	Homer
22/02/2021	43	clear	DCZ	Homer
23/02/2021	44	clear	no 	Homer
24/02/2021	45	clear	sham	Homer
25/02/2021	46	clear	DCZ	Homer
26/02/2021	47	clear	no	Homer
01/03/2021	48	clear	DCZ	Homer
02/03/2021	49	clear	no	Homer
03/03/2021	50	opaque	sham	Homer
04/03/2021	51	opaque	DCZ	Homer
05/03/2021	52	opaque	no	Homer
08/03/2021	53	clear	DCZ	Homer
09/03/2021	54	clear	no	Homer
10/03/2021	55	clear	sham	Homer
11/03/2021	56	clear	DCZ	Homer
12/03/2021	57	clear	no	Homer
15/03/2021	58	clear	DCZ	Homer
16/03/2021	59	clear	no	Homer
17/03/2021	60	clear	DCZ	Homer
18/03/2021	61	clear	no	Homer
19/03/2021	62	clear	sham	Homer
22/03/2021	63	clear	DCZ	Homer
23/03/2021	64	clear	no	Homer
24/03/2021	65	clear	sham	Homer
25/03/2021	66	clear	DCZ	Homer
26/03/2021	67	clear	no	Homer
29/03/2021	68	clear	sham	Homer
30/03/2021	69	clear	sham	Homer
31/03/2021	70	clear	sham	Homer
01/04/2021	71	clear	sham	Homer
02/04/2021	72	clear	sham	Homer
06/04/2021	73	clear	sham	Homer
07/04/2021	74	clear	DCZ	Homer
08/04/2021	75	opaque	sham	Homer
12/04/2021	76	opaque	sham	Homer
13/04/2021	77	opaque	sham	Homer
14/04/2021	78	opaque	sham	Homer
15/04/2021	79	opaque	sham	Homer
16/04/2021	80	opaque	DCZ	Homer
19/04/2021	81	opaque	DCZ	Homer
20/04/2021	82	opaque	sham	Homer
21/04/2021	83	opaque	sham	Homer
22/04/2021	84	opaque	DCZ	Homer
23/04/2021	85	opaque	sham	Homer
24/04/2021	86	opaque	sham	Homer
25/04/2021	87	opaque	sham	Homer
27/01/2021	24	opaque	sham	Donut
28/01/2021	25	opaque	DCZ	Donut
29/01/2021	26	opaque	no	Donut
01/02/2021	27	opaque	DCZ	Donut
02/02/2021	28	opaque	no	Donut
03/02/2021	29	opaque	sham	Donut
04/02/2021	30	opaque	DCZ	Donut
05/02/2021	31	opaque	sham	Donut
08/02/2021	32	opaque	DCZ	Donut
09/02/2021	33	opaque	sham	Donut
10/02/2021	34	opaque	no	Donut
11/02/2021	35	opaque	DCZ	Donut
12/02/2021	36	opaque	no	Donut
15/02/2021	37	opaque	DCZ	Donut
16/02/2021	38	opaque	sham	Donut
17/02/2021	39	opaque	sham	Donut
18/02/2021	40	opaque	DCZ	Donut
19/02/21	41	opaque	no	Donut
22/02/2021	42	clear	DCZ	Donut
23/02/2021	43	clear	no 	Donut
24/02/2021	44	clear	sham	Donut
25/02/2021	45	clear	DCZ	Donut
26/02/2021	46	clear	no	Donut
01/03/2021	47	clear	DCZ	Donut
02/03/2021	48	clear	no	Donut
03/03/2021	49	opaque	sham	Donut
04/03/2021	50	opaque	DCZ	Donut
05/03/2021	51	opaque	no	Donut
08/03/2021	52	clear	DCZ	Donut
09/03/2021	53	clear	no	Donut
10/03/2021	54	clear	sham	Donut
11/03/2021	55	clear	DCZ	Donut
12/03/2021	56	clear	no	Donut
15/03/2021	57	clear	DCZ	Donut
16/03/2021	58	clear	no	Donut
17/03/2021	59	clear	DCZ	Donut
18/03/2021	60	clear	no	Donut
19/03/2021	61	clear	sham	Donut
22/03/2021	62	clear	DCZ	Donut
23/03/2021	63	clear	no	Donut
24/03/2021	64	clear	sham	Donut
25/03/2021	65	clear	DCZ	Donut
26/03/2021	66	clear	no	Donut
29/03/2021	67	clear	sham	Donut
31/03/2021	68	clear	sham	Donut
01/04/2021	69	clear	sham	Donut
02/04/2021	70	clear	sham	Donut
06/04/2021	71	clear	sham	Donut
07/04/2021	72	clear	DCZ	Donut
08/04/2021	73	opaque	sham	Donut
13/04/2021	74	opaque	sham	Donut
14/04/2021	75	opaque	no	Donut
15/04/2021	76	opaque	no	Donut
16/04/2021	77	opaque	DCZ	Donut
19/04/2021	78	opaque	DCZ	Donut
20/04/2021	79	opaque	no	Donut
21/04/2021	80	opaque	sham	Donut
22/04/2021	81	opaque	DCZ	Donut
23/04/2021	82	opaque	no	Donut
